,COMARCA_origen,COMARCA_destino,viajes
0,ALTO_DEBA_O,ALTO_DEBA_D,704970.001
1,ALTO_DEBA_O,BAJO_BIDASOA_D,1168.938
2,ALTO_DEBA_O,BAJO_DEBA_D,73947.795
3,ALTO_DEBA_O,DONOSTIALDEA_D,14272.489
4,ALTO_DEBA_O,GOIERRI_D,52252.710999999996
5,ALTO_DEBA_O,TOLOSALDEA_D,5067.189
6,ALTO_DEBA_O,UROLA_KOSTA_D,14875.791
7,ALTO_DEBA_O,alava_D,39480.724
8,ALTO_DEBA_O,bizkaia_D,53118.341
9,ALTO_DEBA_O,francia_D,34.239
10,ALTO_DEBA_O,navarra_D,2786.061
11,ALTO_DEBA_O,resto_españa_D,6393.254
12,BAJO_BIDASOA_O,ALTO_DEBA_D,1275.738
13,BAJO_BIDASOA_O,BAJO_BIDASOA_D,990427.5050000001
14,BAJO_BIDASOA_O,BAJO_DEBA_D,1199.973
15,BAJO_BIDASOA_O,DONOSTIALDEA_D,193807.595
16,BAJO_BIDASOA_O,GOIERRI_D,2262.043
17,BAJO_BIDASOA_O,TOLOSALDEA_D,4847.718
18,BAJO_BIDASOA_O,UROLA_KOSTA_D,4635.768
19,BAJO_BIDASOA_O,alava_D,1762.6509999999998
20,BAJO_BIDASOA_O,bizkaia_D,4329.0419999999995
21,BAJO_BIDASOA_O,francia_D,2547.877
22,BAJO_BIDASOA_O,navarra_D,18364.064
23,BAJO_BIDASOA_O,resto_españa_D,47745.687
24,BAJO_DEBA_O,ALTO_DEBA_D,74754.096
25,BAJO_DEBA_O,BAJO_BIDASOA_D,1362.128
26,BAJO_DEBA_O,BAJO_DEBA_D,444916.077
27,BAJO_DEBA_O,DONOSTIALDEA_D,18726.651
28,BAJO_DEBA_O,GOIERRI_D,3326.88
29,BAJO_DEBA_O,TOLOSALDEA_D,2436.175
30,BAJO_DEBA_O,UROLA_KOSTA_D,40681.806
31,BAJO_DEBA_O,alava_D,4805.213
32,BAJO_DEBA_O,bizkaia_D,79096.468
33,BAJO_DEBA_O,francia_D,50.711
34,BAJO_DEBA_O,navarra_D,1221.055
35,BAJO_DEBA_O,resto_españa_D,4165.789
36,DONOSTIALDEA_O,ALTO_DEBA_D,14649.835000000001
37,DONOSTIALDEA_O,BAJO_BIDASOA_D,194300.776
38,DONOSTIALDEA_O,BAJO_DEBA_D,18627.255
39,DONOSTIALDEA_O,DONOSTIALDEA_D,4871374.41
40,DONOSTIALDEA_O,GOIERRI_D,41656.7
41,DONOSTIALDEA_O,TOLOSALDEA_D,133206.591
42,DONOSTIALDEA_O,UROLA_KOSTA_D,108872.141
43,DONOSTIALDEA_O,alava_D,14478.992
44,DONOSTIALDEA_O,bizkaia_D,40600.153
45,DONOSTIALDEA_O,francia_D,1029.3899999999999
46,DONOSTIALDEA_O,navarra_D,35960.199
47,DONOSTIALDEA_O,resto_españa_D,41286.709
48,GOIERRI_O,ALTO_DEBA_D,52744.638999999996
49,GOIERRI_O,BAJO_BIDASOA_D,2370.297
50,GOIERRI_O,BAJO_DEBA_D,3321.547
51,GOIERRI_O,DONOSTIALDEA_D,41553.42
52,GOIERRI_O,GOIERRI_D,474461.84
53,GOIERRI_O,TOLOSALDEA_D,73986.887
54,GOIERRI_O,UROLA_KOSTA_D,15841.98
55,GOIERRI_O,alava_D,6221.521
56,GOIERRI_O,bizkaia_D,6854.803
57,GOIERRI_O,francia_D,44.856
58,GOIERRI_O,navarra_D,10701.781
59,GOIERRI_O,resto_españa_D,4292.026
60,TOLOSALDEA_O,ALTO_DEBA_D,5293.358
61,TOLOSALDEA_O,BAJO_BIDASOA_D,4848.24
62,TOLOSALDEA_O,BAJO_DEBA_D,2308.119
63,TOLOSALDEA_O,DONOSTIALDEA_D,133097.142
64,TOLOSALDEA_O,GOIERRI_D,74253.849
65,TOLOSALDEA_O,TOLOSALDEA_D,384105.3
66,TOLOSALDEA_O,UROLA_KOSTA_D,32901.559
67,TOLOSALDEA_O,alava_D,2509.7870000000003
68,TOLOSALDEA_O,bizkaia_D,4212.651
69,TOLOSALDEA_O,francia_D,44.951
70,TOLOSALDEA_O,navarra_D,9581.322
71,TOLOSALDEA_O,resto_españa_D,3858.381
72,UROLA_KOSTA_O,ALTO_DEBA_D,15009.36
73,UROLA_KOSTA_O,BAJO_BIDASOA_D,4716.11
74,UROLA_KOSTA_O,BAJO_DEBA_D,40294.796
75,UROLA_KOSTA_O,DONOSTIALDEA_D,108326.628
76,UROLA_KOSTA_O,GOIERRI_D,15483.267
77,UROLA_KOSTA_O,TOLOSALDEA_D,31758.256999999998
78,UROLA_KOSTA_O,UROLA_KOSTA_D,629986.919
79,UROLA_KOSTA_O,alava_D,4450.538
80,UROLA_KOSTA_O,bizkaia_D,16962.265
81,UROLA_KOSTA_O,francia_D,84.179
82,UROLA_KOSTA_O,navarra_D,4169.243
83,UROLA_KOSTA_O,resto_españa_D,6808.708
84,alava_O,ALTO_DEBA_D,39859.538
85,alava_O,BAJO_BIDASOA_D,1964.981
86,alava_O,BAJO_DEBA_D,5061.467000000001
87,alava_O,DONOSTIALDEA_D,14336.591
88,alava_O,GOIERRI_D,6244.292
89,alava_O,TOLOSALDEA_D,2470.8810000000003
90,alava_O,UROLA_KOSTA_D,4364.653
91,bizkaia_O,ALTO_DEBA_D,53934.935
92,bizkaia_O,BAJO_BIDASOA_D,4717.697
93,bizkaia_O,BAJO_DEBA_D,77677.253
94,bizkaia_O,DONOSTIALDEA_D,39751.034
95,bizkaia_O,GOIERRI_D,6798.485
96,bizkaia_O,TOLOSALDEA_D,4213.349
97,bizkaia_O,UROLA_KOSTA_D,16731.543999999998
98,francia_O,ALTO_DEBA_D,31.292
99,francia_O,BAJO_BIDASOA_D,2795.813
100,francia_O,BAJO_DEBA_D,33.326
101,francia_O,DONOSTIALDEA_D,1015.909
102,francia_O,GOIERRI_D,37.912
103,francia_O,TOLOSALDEA_D,30.741999999999997
104,francia_O,UROLA_KOSTA_D,87.874
105,navarra_O,ALTO_DEBA_D,2604.79
106,navarra_O,BAJO_BIDASOA_D,18604.720999999998
107,navarra_O,BAJO_DEBA_D,1250.642
108,navarra_O,DONOSTIALDEA_D,34298.277
109,navarra_O,GOIERRI_D,10387.615
110,navarra_O,TOLOSALDEA_D,9275.541
111,navarra_O,UROLA_KOSTA_D,4345.886
112,resto_españa_O,ALTO_DEBA_D,5967.433
113,resto_españa_O,BAJO_BIDASOA_D,50779.827
114,resto_españa_O,BAJO_DEBA_D,3167.9049999999997
115,resto_españa_O,DONOSTIALDEA_D,41756.337
116,resto_españa_O,GOIERRI_D,3327.552
117,resto_españa_O,TOLOSALDEA_D,3367.929
118,resto_españa_O,UROLA_KOSTA_D,5832.61
