,COMARCA_origen,COMARCA_destino,viajes
0,ALTO_DEBA_O,ALTO_DEBA_D,721793.159
1,ALTO_DEBA_O,BAJO_BIDASOA_D,1122.031
2,ALTO_DEBA_O,BAJO_DEBA_D,70026.515
3,ALTO_DEBA_O,DONOSTIALDEA_D,13736.369
4,ALTO_DEBA_O,GOIERRI_D,45542.698
5,ALTO_DEBA_O,TOLOSALDEA_D,4700.686
6,ALTO_DEBA_O,UROLA_KOSTA_D,12482.5
7,ALTO_DEBA_O,alava_D,37939.615
8,ALTO_DEBA_O,bizkaia_D,51998.325
9,ALTO_DEBA_O,francia_D,34.239
10,ALTO_DEBA_O,navarra_D,2696.834
11,ALTO_DEBA_O,resto_españa_D,6294.562
12,BAJO_BIDASOA_O,ALTO_DEBA_D,1222.628
13,BAJO_BIDASOA_O,BAJO_BIDASOA_D,1000401.7490000001
14,BAJO_BIDASOA_O,BAJO_DEBA_D,1013.716
15,BAJO_BIDASOA_O,DONOSTIALDEA_D,187841.837
16,BAJO_BIDASOA_O,GOIERRI_D,1951.218
17,BAJO_BIDASOA_O,TOLOSALDEA_D,4421.181
18,BAJO_BIDASOA_O,UROLA_KOSTA_D,4162.724
19,BAJO_BIDASOA_O,alava_D,1735.524
20,BAJO_BIDASOA_O,bizkaia_D,4329.0419999999995
21,BAJO_BIDASOA_O,francia_D,2459.402
22,BAJO_BIDASOA_O,navarra_D,17943.548
23,BAJO_BIDASOA_O,resto_españa_D,45723.092
24,BAJO_DEBA_O,ALTO_DEBA_D,66042.791
25,BAJO_DEBA_O,BAJO_BIDASOA_D,1301.523
26,BAJO_DEBA_O,BAJO_DEBA_D,461932.599
27,BAJO_DEBA_O,DONOSTIALDEA_D,16854.558
28,BAJO_DEBA_O,GOIERRI_D,2647.012
29,BAJO_DEBA_O,TOLOSALDEA_D,2264.464
30,BAJO_DEBA_O,UROLA_KOSTA_D,36624.135
31,BAJO_DEBA_O,alava_D,4592.38
32,BAJO_DEBA_O,bizkaia_D,78172.041
33,BAJO_DEBA_O,francia_D,50.711
34,BAJO_DEBA_O,navarra_D,1135.562
35,BAJO_DEBA_O,resto_españa_D,3925.273
36,DONOSTIALDEA_O,ALTO_DEBA_D,13001.257
37,DONOSTIALDEA_O,BAJO_BIDASOA_D,175647.617
38,DONOSTIALDEA_O,BAJO_DEBA_D,17246.373
39,DONOSTIALDEA_O,DONOSTIALDEA_D,4931420.16
40,DONOSTIALDEA_O,GOIERRI_D,38033.318
41,DONOSTIALDEA_O,TOLOSALDEA_D,122179.877
42,DONOSTIALDEA_O,UROLA_KOSTA_D,96636.702
43,DONOSTIALDEA_O,alava_D,14301.3
44,DONOSTIALDEA_O,bizkaia_D,36147.307
45,DONOSTIALDEA_O,francia_D,1014.295
46,DONOSTIALDEA_O,navarra_D,32078.877
47,DONOSTIALDEA_O,resto_españa_D,38336.068
48,GOIERRI_O,ALTO_DEBA_D,45734.983
49,GOIERRI_O,BAJO_BIDASOA_D,2088.129
50,GOIERRI_O,BAJO_DEBA_D,3094.059
51,GOIERRI_O,DONOSTIALDEA_D,38898.569
52,GOIERRI_O,GOIERRI_D,489761.924
53,GOIERRI_O,TOLOSALDEA_D,71338.106
54,GOIERRI_O,UROLA_KOSTA_D,15096.306
55,GOIERRI_O,alava_D,5635.618
56,GOIERRI_O,bizkaia_D,6541.150000000001
57,GOIERRI_O,francia_D,44.856
58,GOIERRI_O,navarra_D,10046.033
59,GOIERRI_O,resto_españa_D,4115.864
60,TOLOSALDEA_O,ALTO_DEBA_D,5012.416
61,TOLOSALDEA_O,BAJO_BIDASOA_D,4528.612
62,TOLOSALDEA_O,BAJO_DEBA_D,2191.973
63,TOLOSALDEA_O,DONOSTIALDEA_D,124269.116
64,TOLOSALDEA_O,GOIERRI_D,67824.305
65,TOLOSALDEA_O,TOLOSALDEA_D,402868.733
66,TOLOSALDEA_O,UROLA_KOSTA_D,31557.716
67,TOLOSALDEA_O,alava_D,2381.474
68,TOLOSALDEA_O,bizkaia_D,4101.228
69,TOLOSALDEA_O,francia_D,44.951
70,TOLOSALDEA_O,navarra_D,8439.821
71,TOLOSALDEA_O,resto_españa_D,3794.314
72,UROLA_KOSTA_O,ALTO_DEBA_D,15009.36
73,UROLA_KOSTA_O,BAJO_BIDASOA_D,4716.11
74,UROLA_KOSTA_O,BAJO_DEBA_D,40294.796
75,UROLA_KOSTA_O,DONOSTIALDEA_D,108326.628
76,UROLA_KOSTA_O,GOIERRI_D,15483.267
77,UROLA_KOSTA_O,TOLOSALDEA_D,31758.256999999998
78,UROLA_KOSTA_O,UROLA_KOSTA_D,629986.919
79,UROLA_KOSTA_O,alava_D,4450.538
80,UROLA_KOSTA_O,bizkaia_D,16962.265
81,UROLA_KOSTA_O,francia_D,84.179
82,UROLA_KOSTA_O,navarra_D,4169.243
83,UROLA_KOSTA_O,resto_españa_D,6808.708
84,alava_O,ALTO_DEBA_D,39859.538
85,alava_O,BAJO_BIDASOA_D,1964.981
86,alava_O,BAJO_DEBA_D,5061.467000000001
87,alava_O,DONOSTIALDEA_D,14336.591
88,alava_O,GOIERRI_D,6244.292
89,alava_O,TOLOSALDEA_D,2470.8810000000003
90,alava_O,UROLA_KOSTA_D,4364.653
91,bizkaia_O,ALTO_DEBA_D,53934.935
92,bizkaia_O,BAJO_BIDASOA_D,4717.697
93,bizkaia_O,BAJO_DEBA_D,77677.253
94,bizkaia_O,DONOSTIALDEA_D,39751.034
95,bizkaia_O,GOIERRI_D,6798.485
96,bizkaia_O,TOLOSALDEA_D,4213.349
97,bizkaia_O,UROLA_KOSTA_D,16731.543999999998
98,francia_O,ALTO_DEBA_D,31.292
99,francia_O,BAJO_BIDASOA_D,2795.813
100,francia_O,BAJO_DEBA_D,33.326
101,francia_O,DONOSTIALDEA_D,1015.909
102,francia_O,GOIERRI_D,37.912
103,francia_O,TOLOSALDEA_D,30.741999999999997
104,francia_O,UROLA_KOSTA_D,87.874
105,navarra_O,ALTO_DEBA_D,2604.79
106,navarra_O,BAJO_BIDASOA_D,18604.720999999998
107,navarra_O,BAJO_DEBA_D,1250.642
108,navarra_O,DONOSTIALDEA_D,34298.277
109,navarra_O,GOIERRI_D,10387.615
110,navarra_O,TOLOSALDEA_D,9275.541
111,navarra_O,UROLA_KOSTA_D,4345.886
112,resto_españa_O,ALTO_DEBA_D,5967.433
113,resto_españa_O,BAJO_BIDASOA_D,50779.827
114,resto_españa_O,BAJO_DEBA_D,3167.9049999999997
115,resto_españa_O,DONOSTIALDEA_D,41756.337
116,resto_españa_O,GOIERRI_D,3327.552
117,resto_españa_O,TOLOSALDEA_D,3367.929
118,resto_españa_O,UROLA_KOSTA_D,5832.61
